Id,Product Name,Energy (kcal),Fat Content (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1,Cashew Milk,45,5.97,2.97,1.37,9.43,0.85,2.28,0.77,137
2,Oat Milk,53,5.28,0.56,1.14,1.5,0.55,6.44,0.04,141
3,Cashew Milk,74,1.14,0.12,2.34,8.31,0.78,2.04,0.41,88
4,Skim Milk,44,3.83,3.96,4.87,5.54,0.12,7.66,0.04,113
5,Whole Milk,62,3.01,4.11,2.4,7.32,0.27,2.03,0.62,147
6,Cashew Milk,69,4.35,1.62,10.65,3.01,0.06,5.89,0.09,139
7,Almond Milk,61,3.0,1.73,4.64,1.68,0.18,7.85,0.73,150
8,Almond Milk,78,5.31,2.47,3.27,2.75,0.13,5.16,0.02,122
9,Skim Milk,49,5.66,3.47,7.33,2.87,0.24,6.61,0.48,132
10,Skim Milk,44,5.51,1.02,4.72,9.06,0.28,4.85,0.02,96
11,Whole Milk,43,2.05,0.3,2.91,6.13,0.26,3.23,0.13,143
12,Coconut Milk,58,2.24,0.83,2.04,8.52,0.83,3.92,0.67,113
13,Whole Milk,79,4.9,3.44,3.28,7.05,0.38,1.56,0.78,139
14,Almond Milk,55,5.41,2.85,10.64,4.37,0.29,2.26,0.59,118
15,Skim Milk,65,6.84,2.36,6.62,6.83,0.27,5.84,0.29,149
16,Skim Milk,49,5.0,2.46,8.29,9.61,0.61,1.15,0.86,95
17,Skim Milk,43,1.44,1.19,4.44,9.88,0.44,2.79,0.72,98
18,2% Milk,74,4.58,4.4,7.84,1.21,0.12,2.71,0.74,125
19,Coconut Milk,75,4.44,0.38,9.84,9.97,0.12,5.51,0.13,142
20,Soy Milk,49,6.14,4.48,8.77,8.65,0.74,6.54,0.8,103
21,Whole Milk,45,3.9,2.2,1.39,5.47,0.76,3.06,0.85,149
22,2% Milk,75,3.74,3.14,6.52,5.19,0.2,5.2,0.35,109
23,Almond Milk,80,5.84,4.4,1.96,8.56,0.84,4.12,0.63,114
24,Coconut Milk,42,6.69,1.83,4.76,9.65,0.6,6.24,0.33,121
25,Oat Milk,62,7.05,1.52,2.24,2.06,0.4,1.14,0.81,85
26,Cashew Milk,68,7.45,2.15,11.11,2.48,0.88,2.4,0.57,135
27,Oat Milk,47,1.31,4.94,5.99,2.61,0.21,5.61,0.4,142
28,Almond Milk,60,3.14,1.92,6.4,1.34,0.19,5.93,0.87,85
29,Whole Milk,72,2.11,1.51,2.52,2.71,0.06,2.77,0.84,111
30,Almond Milk,58,3.29,3.29,2.73,3.15,0.77,4.67,0.3,106
31,Oat Milk,64,6.8,1.67,8.96,9.29,0.02,1.25,0.93,129
32,Soy Milk,62,7.73,3.48,5.64,9.94,0.22,4.42,0.92,109
33,Skim Milk,65,7.98,3.8,1.07,6.57,0.95,6.08,0.67,131
34,Coconut Milk,65,5.24,4.04,7.22,7.27,0.3,4.05,0.7,84
35,2% Milk,48,5.86,1.75,10.49,9.25,0.59,2.24,0.06,118
36,Soy Milk,56,5.54,3.37,8.89,9.59,0.8,3.04,0.39,90
37,Skim Milk,68,4.91,2.48,2.33,5.67,0.0,3.38,0.6,80
38,Skim Milk,53,4.07,2.52,2.21,6.75,0.76,5.68,0.19,90
39,2% Milk,72,0.88,0.88,10.5,9.87,0.58,3.97,0.73,86
40,Skim Milk,67,6.87,1.17,8.48,9.49,0.87,2.25,0.33,117
41,Almond Milk,52,4.32,1.04,7.58,3.61,0.42,1.27,0.58,98
42,Cashew Milk,68,7.38,0.86,5.94,3.66,0.97,3.83,0.15,149
43,Oat Milk,76,3.63,3.95,2.17,5.23,0.29,5.2,0.48,142
44,2% Milk,58,1.86,2.66,7.55,5.96,0.24,2.01,0.79,81
45,Coconut Milk,62,5.23,2.37,8.46,1.56,1.0,4.72,0.35,112
46,Oat Milk,46,6.13,3.97,8.48,1.1,0.33,1.36,0.78,97
47,Skim Milk,62,5.87,4.18,4.85,9.96,0.86,2.97,0.56,114
48,Skim Milk,80,1.43,1.54,9.76,1.82,0.49,7.42,0.41,97
49,2% Milk,79,4.53,4.62,3.57,5.19,0.92,4.16,0.16,146
50,Cashew Milk,41,6.77,1.37,10.99,1.71,0.74,7.63,0.45,130
51,Skim Milk,73,1.09,3.28,8.42,1.65,0.89,3.32,0.46,94
52,Oat Milk,47,1.48,0.43,8.34,8.69,0.09,2.79,0.05,138
53,Oat Milk,42,2.86,2.94,11.12,7.07,0.26,7.95,0.63,129
54,Cashew Milk,53,2.95,2.51,8.92,5.58,0.37,7.19,0.91,120
55,Almond Milk,54,4.44,2.62,10.41,3.41,0.71,5.95,0.07,108
56,Skim Milk,58,0.67,2.77,3.89,9.96,0.22,3.68,0.23,128
57,Coconut Milk,45,1.79,0.89,4.79,0.8,0.4,6.04,0.8,128
58,2% Milk,50,4.75,0.83,2.71,9.22,0.72,5.97,0.05,148
59,2% Milk,41,3.78,4.73,3.26,1.14,0.07,2.29,0.53,99
60,Whole Milk,53,5.1,2.42,1.73,4.1,1.0,3.61,0.47,131
61,Almond Milk,57,7.03,3.4,5.64,1.75,0.15,4.84,0.65,105
62,Soy Milk,80,1.3,1.86,2.86,5.68,0.33,7.51,0.2,144
63,2% Milk,73,7.85,2.33,4.0,7.57,0.5,3.72,0.79,148
64,Cashew Milk,73,4.15,1.04,2.43,9.74,0.57,4.13,0.72,97
65,Soy Milk,55,1.57,0.49,11.34,7.24,0.39,6.47,0.58,130
66,Oat Milk,44,2.46,2.11,8.63,2.39,0.86,2.63,0.31,130
67,Soy Milk,68,5.14,2.68,11.63,8.72,0.1,4.59,0.14,115
68,Coconut Milk,78,1.3,4.49,6.22,9.26,0.64,1.06,0.32,134
69,Cashew Milk,70,6.15,4.22,2.87,9.03,0.58,6.94,0.56,149
70,Skim Milk,76,6.14,3.85,11.49,4.57,0.96,7.92,0.07,82
71,Almond Milk,51,5.66,2.47,6.3,1.1,0.44,3.67,0.8,126
72,Cashew Milk,44,3.51,4.38,6.38,6.16,0.92,2.65,0.09,98
73,Whole Milk,63,6.68,1.32,2.02,1.77,0.19,4.58,0.25,104
74,Almond Milk,41,0.67,4.84,3.59,7.82,0.6,1.34,0.39,85
75,Whole Milk,70,2.84,1.1,11.19,8.71,0.2,1.56,0.26,111
76,Soy Milk,79,3.54,2.27,11.54,2.33,0.09,7.75,0.07,133
77,2% Milk,80,0.92,2.07,6.51,2.25,0.02,3.24,0.98,101
78,Soy Milk,48,2.15,4.44,5.71,7.25,0.49,2.32,0.88,118
79,Oat Milk,76,5.99,0.98,5.84,4.7,0.46,7.64,0.55,91
80,Coconut Milk,59,7.34,1.7,4.9,9.15,0.98,4.39,0.17,81
81,Whole Milk,40,6.98,0.65,9.89,4.99,0.97,6.74,0.04,129
82,Whole Milk,68,1.45,2.82,9.07,1.14,0.79,1.81,0.12,102
83,Skim Milk,61,5.03,3.33,3.47,5.01,0.11,1.07,0.5,91
