Id,Product Name,Energy (kcal),Fat Proportion (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1.0,Almond Milk,72.0,3.52,2.27,3.54,5.61,0.78,,0.85,92.0
2.0,Skim Milk,77.0,5.11,3.43,2.63,6.69,0.75,6.15,0.46,82.0
3.0,Cashew Milk,69.0,7.01,3.9,,1.88,0.41,3.14,0.24,100.0
,Whole Milk,70.0,4.23,2.71,6.98,,0.87,6.91,0.52,120.0
5.0,,49.0,6.15,4.4,7.39,,0.0,2.47,0.67,121.0
6.0,Almond Milk,69.0,2.77,3.3,6.93,9.11,0.05,6.79,0.58,95.0
,Whole Milk,78.0,,1.98,5.04,9.45,0.27,1.0,0.52,107.0
8.0,Almond Milk,54.0,,2.05,,8.76,0.45,3.53,0.83,
9.0,Coconut Milk,80.0,2.87,3.1,7.31,2.25,0.13,2.21,0.82,140.0
10.0,Soy Milk,67.0,6.86,3.05,2.82,9.8,0.91,3.53,,81.0
11.0,Whole Milk,71.0,1.93,1.93,7.88,8.61,0.02,4.17,0.41,
12.0,2% Milk,68.0,3.65,,,8.56,0.07,2.6,,131.0
,Soy Milk,77.0,1.03,0.85,,9.3,0.72,2.65,0.11,
14.0,Almond Milk,58.0,7.21,4.36,9.34,6.52,,6.7,0.53,105.0
15.0,Almond Milk,45.0,5.84,2.01,6.66,2.73,0.07,,0.82,88.0
,Almond Milk,59.0,6.39,,7.13,5.92,,1.2,0.22,115.0
17.0,Soy Milk,53.0,3.51,4.91,7.08,3.85,0.07,7.45,0.8,93.0
18.0,Whole Milk,79.0,6.99,1.53,9.42,8.42,0.38,3.03,0.59,98.0
19.0,Soy Milk,57.0,7.51,,2.55,0.72,0.14,6.01,0.96,97.0
20.0,Whole Milk,69.0,6.6,2.24,7.31,2.53,0.71,,0.49,96.0
21.0,Skim Milk,59.0,2.11,2.76,7.48,6.46,0.84,6.26,0.82,140.0
22.0,Soy Milk,43.0,2.52,4.55,8.52,0.86,0.98,6.58,0.01,138.0
23.0,,58.0,1.71,0.57,11.73,5.74,0.02,2.51,0.98,110.0
24.0,Oat Milk,61.0,1.77,2.19,3.7,3.34,0.42,4.2,0.88,121.0
25.0,Oat Milk,62.0,1.25,3.12,2.02,9.74,0.85,7.0,0.73,121.0
26.0,,62.0,,4.22,11.72,8.76,0.33,5.21,0.93,128.0
27.0,Skim Milk,66.0,7.62,3.68,10.95,9.17,0.6,4.82,0.09,101.0
28.0,Almond Milk,50.0,7.66,1.26,4.27,5.29,0.11,3.73,0.3,136.0
29.0,Whole Milk,60.0,3.8,4.46,3.03,6.99,0.36,6.0,0.35,
30.0,,54.0,6.33,3.43,6.47,7.2,0.13,6.94,0.05,149.0
31.0,Coconut Milk,75.0,7.92,1.63,4.31,8.13,0.95,6.15,0.55,146.0
32.0,Soy Milk,,3.0,,2.31,7.73,0.08,,,116.0
33.0,Cashew Milk,54.0,0.78,1.82,8.15,4.28,0.18,6.2,0.18,102.0
34.0,Whole Milk,76.0,5.53,1.0,7.92,0.92,0.22,4.05,0.39,105.0
35.0,Coconut Milk,64.0,1.05,3.78,1.31,2.61,0.28,,0.78,128.0
36.0,Coconut Milk,77.0,4.39,1.39,1.33,7.8,0.92,7.21,0.03,128.0
37.0,Oat Milk,42.0,6.21,4.68,11.15,7.64,0.03,3.45,0.83,97.0
38.0,Oat Milk,77.0,5.92,1.71,6.49,5.88,0.45,1.79,0.23,117.0
39.0,,60.0,0.86,1.23,2.45,9.22,0.84,7.0,0.37,148.0
40.0,Whole Milk,53.0,7.86,0.52,2.48,2.6,0.08,4.65,0.91,111.0
41.0,Oat Milk,64.0,5.26,,10.0,5.98,0.49,1.11,0.49,107.0
42.0,Cashew Milk,67.0,1.2,1.77,6.49,5.92,0.79,4.63,0.97,142.0
43.0,Whole Milk,56.0,3.39,0.71,4.45,8.41,,4.65,0.46,103.0
44.0,,67.0,6.93,4.27,3.7,8.58,0.31,1.82,0.53,95.0
,Almond Milk,77.0,,1.97,9.04,3.14,0.39,7.5,0.65,112.0
46.0,2% Milk,51.0,5.13,2.4,,9.92,0.79,,0.72,82.0
47.0,Oat Milk,,,,7.15,6.63,1.0,2.8,0.36,145.0
,Coconut Milk,78.0,1.92,0.39,11.26,7.01,0.44,7.24,0.88,136.0
,Cashew Milk,55.0,4.74,1.57,2.22,6.36,0.68,6.9,0.5,134.0
