Id,Product Name,Energy (kcal),Fat Content (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1.0,Cashew Milk,45.0,5.97,2.97,1.37,9.43,0.85,,0.77,137.0
2.0,Oat Milk,53.0,5.28,0.56,1.14,1.5,0.55,6.44,0.04,141.0
3.0,Cashew Milk,74.0,1.14,0.12,2.34,,,2.04,0.41,88.0
4.0,Skim Milk,44.0,3.83,3.96,4.87,5.54,0.12,7.66,,113.0
5.0,Whole Milk,62.0,3.01,4.11,2.4,7.32,0.27,2.03,0.62,147.0
6.0,Cashew Milk,69.0,4.35,,10.65,3.01,0.06,5.89,0.09,139.0
7.0,Almond Milk,61.0,,,4.64,1.68,0.18,7.85,0.73,150.0
8.0,Almond Milk,78.0,5.31,2.47,3.27,2.75,0.13,5.16,0.02,122.0
9.0,Skim Milk,49.0,5.66,3.47,7.33,2.87,0.24,6.61,0.48,132.0
10.0,Skim Milk,44.0,5.51,1.02,4.72,9.06,,4.85,0.02,96.0
,Whole Milk,43.0,2.05,0.3,,6.13,0.26,3.23,,143.0
12.0,Coconut Milk,58.0,,0.83,2.04,8.52,0.83,3.92,0.67,113.0
13.0,Whole Milk,79.0,4.9,3.44,3.28,7.05,0.38,1.56,0.78,139.0
14.0,Almond Milk,55.0,5.41,2.85,10.64,4.37,0.29,2.26,0.59,118.0
15.0,Skim Milk,65.0,6.84,2.36,6.62,6.83,,5.84,0.29,149.0
,Skim Milk,49.0,,2.46,8.29,9.61,0.61,,,95.0
17.0,,43.0,1.44,1.19,4.44,9.88,0.44,2.79,0.72,98.0
18.0,2% Milk,74.0,4.58,4.4,,1.21,0.12,2.71,0.74,125.0
19.0,Coconut Milk,75.0,,0.38,9.84,9.97,0.12,5.51,0.13,142.0
20.0,Soy Milk,49.0,6.14,4.48,8.77,8.65,0.74,6.54,,103.0
21.0,Whole Milk,45.0,3.9,2.2,1.39,5.47,0.76,3.06,0.85,149.0
22.0,2% Milk,75.0,3.74,3.14,6.52,5.19,0.2,5.2,,109.0
23.0,Almond Milk,80.0,5.84,4.4,1.96,8.56,0.84,4.12,0.63,114.0
,Coconut Milk,42.0,6.69,1.83,4.76,9.65,0.6,6.24,0.33,121.0
25.0,Oat Milk,62.0,7.05,1.52,2.24,,0.4,1.14,0.81,85.0
26.0,Cashew Milk,68.0,,2.15,11.11,2.48,0.88,2.4,,135.0
27.0,Oat Milk,47.0,1.31,4.94,5.99,2.61,0.21,5.61,0.4,142.0
28.0,Almond Milk,60.0,3.14,1.92,6.4,1.34,0.19,5.93,0.87,85.0
29.0,Whole Milk,72.0,,1.51,2.52,2.71,0.06,2.77,0.84,
30.0,Almond Milk,58.0,3.29,3.29,2.73,3.15,0.77,4.67,0.3,106.0
31.0,Oat Milk,64.0,6.8,1.67,8.96,9.29,0.02,1.25,0.93,129.0
32.0,Soy Milk,62.0,7.73,3.48,5.64,9.94,,4.42,0.92,109.0
33.0,Skim Milk,65.0,7.98,3.8,1.07,6.57,0.95,6.08,0.67,131.0
34.0,Coconut Milk,65.0,5.24,,,7.27,0.3,4.05,,
35.0,2% Milk,48.0,,1.75,,9.25,0.59,2.24,0.06,118.0
36.0,Soy Milk,56.0,5.54,3.37,8.89,9.59,0.8,3.04,0.39,90.0
37.0,,68.0,,2.48,2.33,5.67,0.0,3.38,,80.0
38.0,Skim Milk,53.0,4.07,2.52,2.21,6.75,0.76,5.68,0.19,
,2% Milk,72.0,0.88,0.88,10.5,9.87,0.58,,0.73,86.0
40.0,Skim Milk,67.0,6.87,1.17,8.48,,,2.25,,117.0
41.0,Almond Milk,52.0,4.32,1.04,7.58,3.61,0.42,1.27,0.58,
42.0,Cashew Milk,68.0,7.38,0.86,5.94,,,3.83,0.15,149.0
43.0,Oat Milk,76.0,3.63,3.95,2.17,,,5.2,,
44.0,2% Milk,58.0,1.86,2.66,,5.96,0.24,2.01,0.79,81.0
45.0,Coconut Milk,,5.23,2.37,8.46,1.56,1.0,,0.35,112.0
46.0,,46.0,6.13,3.97,8.48,1.1,0.33,1.36,0.78,97.0
47.0,Skim Milk,62.0,5.87,4.18,4.85,9.96,0.86,2.97,0.56,
48.0,Skim Milk,80.0,1.43,1.54,9.76,1.82,0.49,7.42,0.41,
49.0,2% Milk,,4.53,4.62,3.57,5.19,0.92,4.16,0.16,146.0
50.0,Cashew Milk,41.0,6.77,1.37,,1.71,0.74,,0.45,130.0
51.0,Skim Milk,73.0,1.09,3.28,8.42,,0.89,3.32,0.46,94.0
52.0,Oat Milk,47.0,1.48,,8.34,8.69,,2.79,0.05,138.0
53.0,Oat Milk,42.0,2.86,2.94,11.12,7.07,0.26,7.95,0.63,129.0
54.0,Cashew Milk,53.0,2.95,2.51,8.92,5.58,0.37,7.19,0.91,120.0
55.0,Almond Milk,54.0,4.44,2.62,10.41,3.41,0.71,5.95,0.07,
56.0,,58.0,0.67,,3.89,9.96,0.22,3.68,0.23,128.0
57.0,Coconut Milk,45.0,1.79,,4.79,0.8,0.4,6.04,0.8,128.0
58.0,2% Milk,50.0,4.75,0.83,2.71,,0.72,,0.05,148.0
,2% Milk,41.0,3.78,4.73,3.26,1.14,0.07,2.29,0.53,99.0
60.0,Whole Milk,53.0,,2.42,1.73,4.1,1.0,3.61,0.47,131.0
61.0,,57.0,7.03,,5.64,1.75,,4.84,0.65,105.0
62.0,Soy Milk,80.0,1.3,1.86,2.86,5.68,0.33,7.51,0.2,144.0
,2% Milk,73.0,7.85,,4.0,7.57,,3.72,0.79,148.0
64.0,Cashew Milk,73.0,4.15,1.04,2.43,9.74,0.57,4.13,0.72,97.0
65.0,Soy Milk,55.0,1.57,0.49,11.34,7.24,0.39,6.47,0.58,130.0
66.0,Oat Milk,44.0,2.46,2.11,8.63,2.39,0.86,2.63,0.31,130.0
67.0,Soy Milk,68.0,5.14,2.68,11.63,8.72,0.1,4.59,0.14,
68.0,Coconut Milk,78.0,1.3,4.49,6.22,9.26,0.64,,0.32,134.0
,,70.0,6.15,4.22,2.87,9.03,0.58,6.94,0.56,149.0
70.0,Skim Milk,76.0,6.14,3.85,11.49,4.57,0.96,7.92,0.07,82.0
