Id,Product Name,Energy (kcal),Fat Level (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1.0,Cashew Milk,48.0,6.99,1.15,2.62,9.94,0.89,2.32,0.47,97.0
2.0,Coconut Milk,44.0,6.49,1.65,4.71,4.84,,1.39,0.23,116.0
3.0,,66.0,0.93,1.25,11.67,4.36,0.11,6.05,0.63,111.0
4.0,Coconut Milk,43.0,7.02,2.28,,,0.13,5.28,0.49,145.0
5.0,Cashew Milk,71.0,3.28,4.19,,3.53,0.17,4.94,0.37,118.0
6.0,Oat Milk,55.0,1.18,2.26,3.78,4.88,0.09,6.05,0.84,132.0
7.0,Skim Milk,75.0,6.42,3.49,1.88,4.75,0.7,6.73,0.64,90.0
8.0,Almond Milk,61.0,2.08,,6.4,,0.6,3.48,0.93,112.0
,,55.0,7.29,,4.05,1.82,0.69,2.05,0.27,116.0
10.0,Coconut Milk,,5.68,3.18,5.58,0.8,0.73,3.28,,108.0
,Whole Milk,62.0,7.47,4.63,5.98,2.97,0.71,1.42,0.02,116.0
12.0,Almond Milk,52.0,7.76,2.19,5.54,,0.03,1.39,0.49,89.0
13.0,Skim Milk,47.0,,4.33,,6.46,,1.39,0.36,
14.0,Skim Milk,41.0,0.9,4.64,11.36,7.64,0.93,4.94,0.22,
15.0,Skim Milk,62.0,1.91,2.02,2.04,0.84,0.61,1.14,0.54,110.0
16.0,Soy Milk,54.0,3.81,1.59,2.77,8.08,0.01,,0.37,102.0
17.0,Coconut Milk,67.0,3.13,4.85,7.35,7.36,,2.31,0.84,136.0
18.0,Almond Milk,54.0,2.82,1.1,7.51,5.39,,,,143.0
19.0,Cashew Milk,77.0,3.67,1.75,11.39,2.32,0.74,4.52,0.89,150.0
20.0,2% Milk,64.0,1.48,0.85,5.74,2.86,0.78,2.79,0.29,109.0
,,77.0,1.02,1.5,3.23,,0.09,4.22,0.26,140.0
22.0,Skim Milk,62.0,7.82,2.53,11.35,4.78,0.58,7.48,0.97,144.0
23.0,Soy Milk,58.0,2.84,1.43,6.17,1.59,0.7,6.3,0.59,
24.0,Skim Milk,76.0,7.33,4.18,8.01,4.87,0.08,1.45,0.96,143.0
25.0,Whole Milk,,,3.08,3.87,8.66,0.84,3.83,,113.0
26.0,Almond Milk,52.0,1.4,3.03,2.55,0.6,,1.44,0.43,121.0
27.0,Whole Milk,80.0,2.78,4.77,1.62,,0.54,4.21,0.55,83.0
28.0,,61.0,,2.69,6.38,8.11,0.15,5.23,0.88,103.0
29.0,Oat Milk,41.0,4.79,3.16,10.31,8.93,,,0.21,99.0
30.0,Oat Milk,79.0,2.13,1.33,6.42,2.16,0.63,7.71,,141.0
,Oat Milk,68.0,1.34,0.18,4.03,6.92,0.47,3.13,0.63,81.0
32.0,Coconut Milk,78.0,0.8,1.11,,9.68,,7.41,0.73,117.0
33.0,Almond Milk,59.0,4.43,0.34,5.84,6.86,0.34,4.77,0.81,150.0
34.0,Cashew Milk,65.0,,,6.16,9.09,0.01,3.19,0.51,119.0
