Id,Product Name,Energy,Fat Percentage,Saturated Fat,Carbohydrates,Sugars,Fiber,Protein,Salt,Calcium
,Soy Milk,72.0 kcal,7.02 g,2.9 g,2.4 g,4.23 g,0.18 g,6.74 g,0.62 g,87.0 mg
2.0,Cashew Milk,55.0 kcal,7.29 g,4.06 g,11.64 g,3.98 g,0.41 g,nan g,0.18 g,140.0 mg
3.0,Coconut Milk,68.0 kcal,nan g,4.06 g,10.8 g,nan g,0.65 g,3.06 g,0.96 g,117.0 mg
4.0,Whole Milk,75.0 kcal,6.32 g,4.32 g,7.37 g,9.43 g,nan g,5.58 g,0.35 g,120.0 mg
5.0,Coconut Milk,76.0 kcal,2.68 g,0.53 g,8.2 g,nan g,0.8 g,6.38 g,nan g,119.0 mg
6.0,,59.0 kcal,3.12 g,nan g,4.54 g,8.81 g,nan g,2.5 g,0.54 g,94.0 mg
7.0,Cashew Milk,nan kcal,4.84 g,0.96 g,6.83 g,3.46 g,0.03 g,6.5 g,0.51 g,97.0 mg
8.0,Skim Milk,46.0 kcal,1.7 g,3.91 g,nan g,nan g,0.69 g,6.51 g,0.87 g,114.0 mg
9.0,Oat Milk,nan kcal,0.69 g,4.15 g,8.84 g,6.66 g,0.52 g,1.28 g,0.77 g,93.0 mg
,,78.0 kcal,3.72 g,1.44 g,11.52 g,nan g,0.45 g,4.87 g,0.28 g,83.0 mg
11.0,Cashew Milk,nan kcal,7.38 g,3.0 g,10.06 g,2.38 g,0.19 g,4.31 g,0.14 g,133.0 mg
12.0,,60.0 kcal,2.93 g,2.43 g,6.77 g,3.41 g,0.57 g,6.22 g,0.07 g,102.0 mg
13.0,Cashew Milk,59.0 kcal,3.96 g,0.78 g,6.28 g,nan g,0.62 g,3.87 g,0.76 g,125.0 mg
,Almond Milk,63.0 kcal,7.74 g,0.91 g,8.38 g,8.2 g,0.56 g,6.89 g,0.66 g,92.0 mg
15.0,Almond Milk,76.0 kcal,6.78 g,nan g,5.45 g,7.91 g,0.41 g,7.48 g,0.59 g,nan mg
16.0,Almond Milk,44.0 kcal,1.26 g,1.01 g,5.45 g,3.89 g,0.25 g,7.59 g,nan g,137.0 mg
17.0,2% Milk,65.0 kcal,7.28 g,1.38 g,5.14 g,1.97 g,0.82 g,6.94 g,0.57 g,87.0 mg
18.0,Oat Milk,62.0 kcal,6.55 g,0.1 g,2.38 g,5.47 g,0.63 g,2.43 g,0.18 g,101.0 mg
19.0,,77.0 kcal,0.68 g,nan g,10.0 g,nan g,0.82 g,2.96 g,0.48 g,112.0 mg
20.0,Almond Milk,45.0 kcal,7.29 g,1.5 g,4.98 g,9.36 g,0.76 g,7.88 g,0.13 g,118.0 mg
21.0,Oat Milk,40.0 kcal,3.16 g,2.62 g,9.71 g,9.36 g,0.89 g,6.07 g,0.65 g,104.0 mg
22.0,Almond Milk,59.0 kcal,3.35 g,0.44 g,4.04 g,0.72 g,0.14 g,5.79 g,1.0 g,128.0 mg
23.0,Oat Milk,55.0 kcal,2.51 g,0.64 g,7.62 g,5.82 g,0.82 g,3.01 g,0.92 g,122.0 mg
24.0,Coconut Milk,43.0 kcal,2.54 g,0.11 g,7.11 g,1.57 g,0.3 g,3.33 g,nan g,141.0 mg
25.0,Soy Milk,73.0 kcal,4.56 g,4.64 g,3.23 g,9.96 g,0.77 g,nan g,1.0 g,133.0 mg
26.0,Cashew Milk,nan kcal,4.14 g,2.57 g,nan g,nan g,0.68 g,2.69 g,nan g,136.0 mg
27.0,,nan kcal,0.91 g,nan g,10.84 g,5.61 g,0.83 g,7.44 g,0.81 g,137.0 mg
28.0,Almond Milk,77.0 kcal,5.77 g,3.82 g,6.67 g,7.73 g,0.64 g,6.24 g,0.89 g,119.0 mg
29.0,Almond Milk,59.0 kcal,2.24 g,1.88 g,1.64 g,9.77 g,0.7 g,3.24 g,0.12 g,95.0 mg
30.0,Soy Milk,66.0 kcal,6.43 g,nan g,1.18 g,nan g,0.98 g,6.02 g,0.83 g,150.0 mg
31.0,Cashew Milk,76.0 kcal,5.78 g,3.16 g,6.28 g,1.98 g,0.83 g,4.07 g,0.61 g,104.0 mg
32.0,Skim Milk,71.0 kcal,2.5 g,2.09 g,6.56 g,3.85 g,0.95 g,2.49 g,0.42 g,97.0 mg
33.0,Cashew Milk,40.0 kcal,2.0 g,0.43 g,7.12 g,5.97 g,0.86 g,5.18 g,0.5 g,96.0 mg
34.0,Whole Milk,64.0 kcal,7.13 g,0.91 g,7.13 g,5.8 g,0.33 g,6.5 g,0.2 g,125.0 mg
35.0,2% Milk,66.0 kcal,nan g,2.62 g,2.72 g,3.61 g,0.01 g,5.2 g,nan g,nan mg
36.0,Oat Milk,47.0 kcal,3.74 g,4.48 g,1.93 g,7.0 g,0.65 g,7.74 g,0.3 g,83.0 mg
37.0,Skim Milk,69.0 kcal,3.64 g,1.57 g,3.49 g,0.56 g,0.13 g,nan g,0.54 g,120.0 mg
38.0,Whole Milk,60.0 kcal,1.52 g,3.89 g,5.61 g,5.5 g,nan g,1.36 g,nan g,86.0 mg
39.0,Skim Milk,80.0 kcal,3.2 g,nan g,1.16 g,4.5 g,0.89 g,4.06 g,0.33 g,106.0 mg
40.0,Oat Milk,60.0 kcal,6.08 g,3.81 g,7.13 g,2.79 g,0.15 g,4.61 g,0.99 g,111.0 mg
41.0,Coconut Milk,49.0 kcal,6.52 g,2.08 g,9.46 g,5.97 g,0.93 g,4.51 g,0.95 g,145.0 mg
42.0,Oat Milk,74.0 kcal,1.04 g,2.64 g,10.32 g,7.67 g,0.24 g,1.62 g,0.08 g,117.0 mg
,2% Milk,54.0 kcal,5.25 g,2.6 g,4.76 g,3.97 g,0.18 g,4.83 g,0.65 g,137.0 mg
44.0,Skim Milk,53.0 kcal,5.85 g,3.48 g,7.72 g,1.15 g,0.81 g,4.59 g,0.51 g,107.0 mg
45.0,Almond Milk,50.0 kcal,5.75 g,3.23 g,8.57 g,7.02 g,0.75 g,5.06 g,0.14 g,105.0 mg
46.0,Cashew Milk,72.0 kcal,5.18 g,4.78 g,10.83 g,nan g,nan g,4.8 g,0.54 g,113.0 mg
47.0,,52.0 kcal,3.44 g,0.84 g,6.97 g,2.03 g,0.8 g,5.08 g,0.13 g,130.0 mg
48.0,Skim Milk,54.0 kcal,4.31 g,2.26 g,5.96 g,2.91 g,0.36 g,6.75 g,0.47 g,145.0 mg
49.0,Cashew Milk,68.0 kcal,5.87 g,2.41 g,7.34 g,1.32 g,0.8 g,7.08 g,0.5 g,111.0 mg
50.0,Cashew Milk,53.0 kcal,3.32 g,3.3 g,6.48 g,2.04 g,0.15 g,3.48 g,0.3 g,nan mg
,,72.0 kcal,4.81 g,nan g,nan g,5.86 g,0.61 g,3.46 g,nan g,138.0 mg
52.0,Soy Milk,71.0 kcal,nan g,1.84 g,10.5 g,4.29 g,0.55 g,6.15 g,0.36 g,119.0 mg
53.0,Skim Milk,70.0 kcal,7.69 g,2.28 g,1.46 g,nan g,0.06 g,7.56 g,0.4 g,84.0 mg
54.0,Oat Milk,56.0 kcal,2.98 g,1.15 g,1.19 g,2.38 g,0.25 g,7.58 g,0.84 g,118.0 mg
55.0,Cashew Milk,71.0 kcal,7.97 g,3.54 g,9.87 g,nan g,0.52 g,4.51 g,0.02 g,106.0 mg
,Oat Milk,68.0 kcal,6.19 g,1.52 g,7.81 g,2.89 g,0.5 g,3.0 g,0.78 g,nan mg
57.0,Soy Milk,53.0 kcal,2.66 g,3.35 g,1.88 g,5.2 g,0.04 g,1.45 g,0.58 g,nan mg
58.0,2% Milk,45.0 kcal,2.47 g,3.71 g,8.47 g,1.45 g,0.0 g,7.32 g,0.46 g,113.0 mg
59.0,Soy Milk,57.0 kcal,nan g,4.56 g,2.92 g,2.67 g,0.76 g,nan g,0.47 g,102.0 mg
60.0,Skim Milk,42.0 kcal,3.76 g,3.41 g,4.88 g,1.4 g,0.34 g,5.7 g,0.78 g,nan mg
61.0,Almond Milk,59.0 kcal,4.29 g,1.08 g,4.67 g,3.79 g,0.95 g,7.82 g,nan g,105.0 mg
,Almond Milk,71.0 kcal,0.5 g,2.46 g,6.17 g,8.19 g,0.73 g,3.26 g,0.88 g,102.0 mg
63.0,Whole Milk,59.0 kcal,2.23 g,nan g,3.17 g,2.73 g,0.38 g,5.82 g,0.57 g,103.0 mg
64.0,Coconut Milk,53.0 kcal,1.25 g,1.82 g,8.52 g,7.71 g,0.27 g,3.06 g,0.05 g,85.0 mg
65.0,Soy Milk,69.0 kcal,1.97 g,2.27 g,2.23 g,nan g,0.17 g,1.56 g,0.84 g,145.0 mg
66.0,Oat Milk,69.0 kcal,7.26 g,0.38 g,2.98 g,8.5 g,0.37 g,2.2 g,0.52 g,121.0 mg
,,57.0 kcal,2.69 g,3.93 g,nan g,3.17 g,0.34 g,3.12 g,0.02 g,131.0 mg
68.0,Oat Milk,42.0 kcal,1.86 g,1.53 g,8.32 g,nan g,0.47 g,2.41 g,nan g,126.0 mg
69.0,Oat Milk,56.0 kcal,4.84 g,nan g,1.27 g,nan g,0.38 g,5.37 g,0.81 g,122.0 mg
70.0,2% Milk,nan kcal,5.62 g,0.99 g,9.16 g,6.87 g,0.32 g,nan g,nan g,125.0 mg
71.0,Soy Milk,75.0 kcal,0.74 g,3.51 g,nan g,1.5 g,0.26 g,5.99 g,0.58 g,nan mg
,Almond Milk,50.0 kcal,7.71 g,1.99 g,2.93 g,2.87 g,0.7 g,3.35 g,0.69 g,103.0 mg
73.0,Oat Milk,nan kcal,2.91 g,1.68 g,11.11 g,1.05 g,0.05 g,3.79 g,0.17 g,113.0 mg
74.0,Oat Milk,55.0 kcal,1.09 g,5.0 g,nan g,7.4 g,0.04 g,3.54 g,0.16 g,82.0 mg
75.0,,69.0 kcal,nan g,0.95 g,1.65 g,2.99 g,0.83 g,5.8 g,0.66 g,nan mg
76.0,Oat Milk,80.0 kcal,2.73 g,nan g,7.45 g,nan g,0.85 g,7.76 g,nan g,146.0 mg
77.0,Coconut Milk,44.0 kcal,1.31 g,3.33 g,10.85 g,9.18 g,0.08 g,5.27 g,0.93 g,nan mg
78.0,Cashew Milk,nan kcal,4.65 g,4.07 g,1.4 g,1.49 g,0.28 g,1.24 g,0.63 g,99.0 mg
79.0,Soy Milk,70.0 kcal,nan g,2.14 g,11.23 g,4.49 g,0.52 g,1.51 g,0.37 g,146.0 mg
80.0,Whole Milk,76.0 kcal,1.87 g,1.04 g,6.7 g,1.87 g,0.06 g,4.15 g,nan g,114.0 mg
81.0,Soy Milk,77.0 kcal,5.95 g,3.11 g,10.94 g,nan g,0.28 g,nan g,0.47 g,119.0 mg
82.0,Skim Milk,40.0 kcal,4.44 g,1.06 g,4.98 g,2.57 g,0.75 g,7.31 g,0.86 g,129.0 mg
83.0,2% Milk,43.0 kcal,3.38 g,3.39 g,3.48 g,3.57 g,0.18 g,2.16 g,0.56 g,nan mg
84.0,Whole Milk,48.0 kcal,3.22 g,4.67 g,5.42 g,4.88 g,0.85 g,nan g,0.35 g,119.0 mg
85.0,Almond Milk,57.0 kcal,2.21 g,1.44 g,8.37 g,6.46 g,nan g,2.57 g,0.96 g,114.0 mg
86.0,Coconut Milk,53.0 kcal,0.57 g,4.77 g,11.22 g,9.36 g,0.58 g,3.4 g,0.37 g,139.0 mg
87.0,Skim Milk,nan kcal,7.86 g,4.36 g,11.24 g,7.18 g,nan g,7.89 g,0.48 g,121.0 mg
