Id,Product Name,Energy (kcal),Fat Level (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1,Cashew Milk,48,6.99,1.15,2.62,9.94,0.89,2.32,0.47,97
2,Coconut Milk,44,6.49,1.65,4.71,4.84,0.07,1.39,0.23,116
3,2% Milk,66,0.93,1.25,11.67,4.36,0.11,6.05,0.63,111
4,Coconut Milk,43,7.02,2.28,7.09,4.57,0.13,5.28,0.49,145
5,Cashew Milk,71,3.28,4.19,2.57,3.53,0.17,4.94,0.37,118
6,Oat Milk,55,1.18,2.26,3.78,4.88,0.09,6.05,0.84,132
7,Skim Milk,75,6.42,3.49,1.88,4.75,0.7,6.73,0.64,90
8,Almond Milk,61,2.08,2.78,6.4,7.78,0.6,3.48,0.93,112
9,Almond Milk,55,7.29,0.51,4.05,1.82,0.69,2.05,0.27,116
10,Coconut Milk,63,5.68,3.18,5.58,0.8,0.73,3.28,0.12,108
11,Whole Milk,62,7.47,4.63,5.98,2.97,0.71,1.42,0.02,116
12,Almond Milk,52,7.76,2.19,5.54,2.92,0.03,1.39,0.49,89
13,Skim Milk,47,5.16,4.33,7.58,6.46,0.95,1.39,0.36,132
14,Skim Milk,41,0.9,4.64,11.36,7.64,0.93,4.94,0.22,89
15,Skim Milk,62,1.91,2.02,2.04,0.84,0.61,1.14,0.54,110
16,Soy Milk,54,3.81,1.59,2.77,8.08,0.01,6.54,0.37,102
17,Coconut Milk,67,3.13,4.85,7.35,7.36,0.3,2.31,0.84,136
18,Almond Milk,54,2.82,1.1,7.51,5.39,0.55,2.88,0.75,143
19,Cashew Milk,77,3.67,1.75,11.39,2.32,0.74,4.52,0.89,150
20,2% Milk,64,1.48,0.85,5.74,2.86,0.78,2.79,0.29,109
21,2% Milk,77,1.02,1.5,3.23,4.84,0.09,4.22,0.26,140
22,Skim Milk,62,7.82,2.53,11.35,4.78,0.58,7.48,0.97,144
23,Soy Milk,58,2.84,1.43,6.17,1.59,0.7,6.3,0.59,130
24,Skim Milk,76,7.33,4.18,8.01,4.87,0.08,1.45,0.96,143
25,Whole Milk,41,4.71,3.08,3.87,8.66,0.84,3.83,0.73,113
26,Almond Milk,52,1.4,3.03,2.55,0.6,0.36,1.44,0.43,121
27,Whole Milk,80,2.78,4.77,1.62,2.9,0.54,4.21,0.55,83
28,Oat Milk,61,3.09,2.69,6.38,8.11,0.15,5.23,0.88,103
29,Oat Milk,41,4.79,3.16,10.31,8.93,0.14,5.17,0.21,99
30,Oat Milk,79,2.13,1.33,6.42,2.16,0.63,7.71,0.1,141
31,Oat Milk,68,1.34,0.18,4.03,6.92,0.47,3.13,0.63,81
32,Coconut Milk,78,0.8,1.11,8.55,9.68,0.04,7.41,0.73,117
33,Almond Milk,59,4.43,0.34,5.84,6.86,0.34,4.77,0.81,150
34,Cashew Milk,65,1.48,1.88,6.16,9.09,0.01,3.19,0.51,119
35,Soy Milk,53,1.38,2.85,11.2,6.64,1.0,6.04,0.65,136
