Id,Product Name,Energy (kcal),Fat Proportion (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1,Almond Milk,72,3.52,2.27,3.54,5.61,0.78,3.65,0.85,92
2,Skim Milk,77,5.11,3.43,2.63,6.69,0.75,6.15,0.46,82
3,Cashew Milk,69,7.01,3.9,4.9,1.88,0.41,3.14,0.24,100
4,Whole Milk,70,4.23,2.71,6.98,2.66,0.87,6.91,0.52,120
5,Whole Milk,49,6.15,4.4,7.39,3.09,0.0,2.47,0.67,121
6,Almond Milk,69,2.77,3.3,6.93,9.11,0.05,6.79,0.58,95
7,Whole Milk,78,2.32,1.98,5.04,9.45,0.27,1.0,0.52,107
8,Almond Milk,54,2.69,2.05,7.05,8.76,0.45,3.53,0.83,113
9,Coconut Milk,80,2.87,3.1,7.31,2.25,0.13,2.21,0.82,140
10,Soy Milk,67,6.86,3.05,2.82,9.8,0.91,3.53,0.33,81
11,Whole Milk,71,1.93,1.93,7.88,8.61,0.02,4.17,0.41,123
12,2% Milk,68,3.65,3.16,8.92,8.56,0.07,2.6,0.55,131
13,Soy Milk,77,1.03,0.85,7.25,9.3,0.72,2.65,0.11,127
14,Almond Milk,58,7.21,4.36,9.34,6.52,0.69,6.7,0.53,105
15,Almond Milk,45,5.84,2.01,6.66,2.73,0.07,7.3,0.82,88
16,Almond Milk,59,6.39,1.88,7.13,5.92,0.58,1.2,0.22,115
17,Soy Milk,53,3.51,4.91,7.08,3.85,0.07,7.45,0.8,93
18,Whole Milk,79,6.99,1.53,9.42,8.42,0.38,3.03,0.59,98
19,Soy Milk,57,7.51,0.34,2.55,0.72,0.14,6.01,0.96,97
20,Whole Milk,69,6.6,2.24,7.31,2.53,0.71,7.86,0.49,96
21,Skim Milk,59,2.11,2.76,7.48,6.46,0.84,6.26,0.82,140
22,Soy Milk,43,2.52,4.55,8.52,0.86,0.98,6.58,0.01,138
23,Whole Milk,58,1.71,0.57,11.73,5.74,0.02,2.51,0.98,110
24,Oat Milk,61,1.77,2.19,3.7,3.34,0.42,4.2,0.88,121
25,Oat Milk,62,1.25,3.12,2.02,9.74,0.85,7.0,0.73,121
26,Oat Milk,62,4.75,4.22,11.72,8.76,0.33,5.21,0.93,128
27,Skim Milk,66,7.62,3.68,10.95,9.17,0.6,4.82,0.09,101
28,Almond Milk,50,7.66,1.26,4.27,5.29,0.11,3.73,0.3,136
29,Whole Milk,60,3.8,4.46,3.03,6.99,0.36,6.0,0.35,135
30,Cashew Milk,54,6.33,3.43,6.47,7.2,0.13,6.94,0.05,149
31,Coconut Milk,75,7.92,1.63,4.31,8.13,0.95,6.15,0.55,146
32,Soy Milk,67,3.0,2.29,2.31,7.73,0.08,2.27,0.56,116
33,Cashew Milk,54,0.78,1.82,8.15,4.28,0.18,6.2,0.18,102
34,Whole Milk,76,5.53,1.0,7.92,0.92,0.22,4.05,0.39,105
35,Coconut Milk,64,1.05,3.78,1.31,2.61,0.28,4.08,0.78,128
36,Coconut Milk,77,4.39,1.39,1.33,7.8,0.92,7.21,0.03,128
37,Oat Milk,42,6.21,4.68,11.15,7.64,0.03,3.45,0.83,97
38,Oat Milk,77,5.92,1.71,6.49,5.88,0.45,1.79,0.23,117
39,Cashew Milk,60,0.86,1.23,2.45,9.22,0.84,7.0,0.37,148
40,Whole Milk,53,7.86,0.52,2.48,2.6,0.08,4.65,0.91,111
41,Oat Milk,64,5.26,4.13,10.0,5.98,0.49,1.11,0.49,107
42,Cashew Milk,67,1.2,1.77,6.49,5.92,0.79,4.63,0.97,142
43,Whole Milk,56,3.39,0.71,4.45,8.41,0.25,4.65,0.46,103
44,Coconut Milk,67,6.93,4.27,3.7,8.58,0.31,1.82,0.53,95
45,Almond Milk,77,3.41,1.97,9.04,3.14,0.39,7.5,0.65,112
46,2% Milk,51,5.13,2.4,11.87,9.92,0.79,3.78,0.72,82
47,Oat Milk,80,4.03,0.3,7.15,6.63,1.0,2.8,0.36,145
48,Coconut Milk,78,1.92,0.39,11.26,7.01,0.44,7.24,0.88,136
49,Cashew Milk,55,4.74,1.57,2.22,6.36,0.68,6.9,0.5,134
50,Soy Milk,58,6.3,4.66,7.42,2.89,0.39,7.6,0.49,136
51,Almond Milk,71,3.05,2.87,8.98,6.1,0.82,5.03,0.12,86
52,Oat Milk,57,1.79,0.28,8.54,9.22,0.33,7.13,0.49,129
53,Skim Milk,60,4.23,3.94,1.97,0.79,0.6,7.56,0.4,118
54,Soy Milk,71,5.08,0.32,10.4,9.48,0.66,1.1,0.04,125
55,Cashew Milk,61,7.59,3.91,1.41,1.58,0.7,3.27,0.25,88
56,Whole Milk,68,6.73,3.68,9.45,8.32,0.64,6.35,0.38,91
57,Almond Milk,59,3.79,0.34,4.46,1.33,0.13,2.75,1.0,90
58,Cashew Milk,41,0.7,3.43,9.24,3.45,0.92,5.96,0.78,112
59,Coconut Milk,53,2.2,4.16,9.38,9.21,0.74,6.95,0.51,93
60,Whole Milk,43,5.49,0.24,8.58,9.54,0.48,4.0,0.71,134
61,Skim Milk,59,7.62,2.2,1.33,6.69,0.79,6.22,0.78,105
62,Oat Milk,44,3.66,1.31,10.47,4.13,0.87,3.34,0.87,123
63,Oat Milk,40,1.07,3.18,8.28,0.68,0.27,4.79,0.29,138
64,2% Milk,47,1.35,1.13,3.9,5.62,0.81,5.68,0.37,112
65,Coconut Milk,70,4.58,0.29,10.35,8.72,0.69,3.9,0.26,107
66,Oat Milk,41,1.29,1.77,4.75,9.71,0.27,1.98,0.62,109
67,2% Milk,61,4.08,2.23,3.64,6.08,0.59,5.94,0.33,136
68,Cashew Milk,43,5.13,1.39,3.55,6.02,0.61,6.19,0.18,125
69,Cashew Milk,62,6.04,1.49,2.57,8.71,0.47,5.53,0.1,127
70,Soy Milk,56,3.75,1.83,1.79,9.43,0.8,5.2,0.51,140
71,Soy Milk,78,6.59,4.8,10.03,4.43,0.07,7.79,0.48,143
72,Almond Milk,60,0.9,1.5,8.55,1.1,0.77,6.65,0.78,83
73,Oat Milk,76,1.01,3.89,9.28,8.49,0.49,2.48,0.12,138
74,Cashew Milk,43,6.84,4.04,1.04,1.08,0.16,5.65,0.35,83
75,Whole Milk,78,6.12,0.29,4.56,3.73,0.68,5.93,0.9,116
76,Cashew Milk,43,7.99,0.81,3.96,2.39,0.09,7.93,0.06,96
77,Cashew Milk,42,1.34,0.78,3.2,3.09,0.54,6.93,0.23,101
78,Cashew Milk,46,1.98,4.02,5.84,4.33,0.86,2.73,0.41,86
79,2% Milk,53,4.18,3.52,5.62,5.66,0.91,5.42,0.99,124
80,Oat Milk,79,6.41,1.48,4.43,5.45,0.22,2.85,0.78,95
81,Whole Milk,73,4.41,2.8,5.84,4.07,0.94,3.12,0.41,130
82,Oat Milk,68,0.56,2.13,1.96,6.56,0.02,4.0,0.01,94
83,Skim Milk,58,4.55,3.44,5.54,5.07,0.6,4.93,0.01,116
84,Soy Milk,47,7.78,3.8,10.2,0.63,0.43,6.69,0.64,145
85,Whole Milk,80,3.57,1.81,6.84,3.15,0.97,2.05,0.68,140
86,Almond Milk,46,5.93,0.17,11.09,4.86,0.31,7.73,0.29,80
87,Skim Milk,79,5.17,2.41,9.29,0.54,0.97,5.97,0.6,115
88,Cashew Milk,77,4.46,2.81,7.9,1.99,0.42,7.99,0.62,111
89,Almond Milk,58,2.43,4.35,8.47,8.2,0.64,1.4,0.69,125
90,Oat Milk,50,4.43,0.48,8.91,8.66,0.15,3.57,0.37,129
91,Almond Milk,77,4.28,0.92,6.63,0.66,0.6,3.8,0.65,94
92,2% Milk,64,4.7,1.05,9.84,1.64,0.58,2.82,0.69,139
93,Soy Milk,45,3.4,3.12,11.97,9.12,0.64,2.05,0.28,133
94,Whole Milk,45,5.57,0.52,11.64,9.9,0.15,5.46,1.0,99
95,Skim Milk,65,5.18,2.97,10.71,2.67,0.75,3.47,0.28,149
96,Almond Milk,79,4.31,1.28,10.01,1.76,0.7,7.62,0.14,139
97,Whole Milk,80,4.54,0.77,2.23,2.74,0.78,4.55,0.85,92
98,Whole Milk,54,1.25,3.71,4.2,3.42,0.6,7.72,0.8,107
99,Soy Milk,56,2.13,1.26,3.74,9.39,0.87,1.12,0.76,105
100,Skim Milk,45,2.05,3.3,10.57,7.16,0.84,4.61,0.45,148
101,Oat Milk,72,3.82,2.17,7.41,6.53,0.21,1.61,0.79,149
102,Coconut Milk,63,1.36,3.88,10.95,8.57,0.1,2.15,0.94,108
103,Cashew Milk,47,0.85,0.93,5.0,5.73,0.88,5.02,0.04,93
104,Whole Milk,51,1.9,0.71,9.61,5.73,0.36,3.52,0.71,113
105,Coconut Milk,56,6.36,0.27,6.88,8.41,0.07,6.99,0.81,148
106,2% Milk,57,5.18,1.32,7.21,6.16,0.92,2.53,0.97,93
107,Cashew Milk,57,6.44,3.65,6.89,4.88,0.79,1.88,0.54,92
108,2% Milk,76,2.35,4.85,9.33,5.66,0.72,2.98,0.54,134
109,2% Milk,57,3.3,2.39,11.34,4.14,0.3,4.94,0.55,150
110,Skim Milk,71,1.33,0.34,10.55,6.82,0.21,5.77,0.19,139
111,Soy Milk,46,5.15,2.83,4.17,8.36,0.34,2.45,0.17,109
112,Soy Milk,43,2.75,4.33,5.66,6.87,0.8,5.39,0.25,96
113,Skim Milk,70,0.89,2.34,5.0,7.2,0.45,1.81,0.48,96
114,Skim Milk,73,3.1,1.32,10.32,9.99,0.36,1.19,0.11,148
115,Skim Milk,77,6.69,2.92,10.88,5.27,0.7,6.98,0.32,122
116,Cashew Milk,62,5.48,4.73,11.02,4.92,0.68,3.28,0.14,114
117,Skim Milk,76,1.5,0.74,6.69,0.57,0.69,7.65,0.05,110
118,Whole Milk,66,6.44,1.36,2.23,0.7,0.12,7.9,0.96,113
119,Whole Milk,68,5.69,1.61,2.73,7.92,0.15,2.13,0.25,146
120,Cashew Milk,55,4.98,3.36,2.37,1.41,0.61,5.58,0.08,117
121,Cashew Milk,47,7.52,1.24,4.47,2.05,0.33,1.79,0.33,81
