Id,Product Name,Energy (kcal),Fat Percentage (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1,Soy Milk,72,7.02,2.9,2.4,4.23,0.18,6.74,0.62,87
2,Cashew Milk,55,7.29,4.06,11.64,3.98,0.41,5.6,0.18,140
3,Coconut Milk,68,2.45,4.06,10.8,2.34,0.65,3.06,0.96,117
4,Whole Milk,75,6.32,4.32,7.37,9.43,0.55,5.58,0.35,120
5,Coconut Milk,76,2.68,0.53,8.2,8.62,0.8,6.38,0.13,119
6,Almond Milk,59,3.12,2.44,4.54,8.81,0.56,2.5,0.54,94
7,Cashew Milk,78,4.84,0.96,6.83,3.46,0.03,6.5,0.51,97
8,Skim Milk,46,1.7,3.91,2.15,7.55,0.69,6.51,0.87,114
9,Oat Milk,59,0.69,4.15,8.84,6.66,0.52,1.28,0.77,93
10,Soy Milk,78,3.72,1.44,11.52,7.75,0.45,4.87,0.28,83
11,Cashew Milk,49,7.38,3.0,10.06,2.38,0.19,4.31,0.14,133
12,Skim Milk,60,2.93,2.43,6.77,3.41,0.57,6.22,0.07,102
13,Cashew Milk,59,3.96,0.78,6.28,6.47,0.62,3.87,0.76,125
14,Almond Milk,63,7.74,0.91,8.38,8.2,0.56,6.89,0.66,92
15,Almond Milk,76,6.78,0.88,5.45,7.91,0.41,7.48,0.59,111
16,Almond Milk,44,1.26,1.01,5.45,3.89,0.25,7.59,0.54,137
17,2% Milk,65,7.28,1.38,5.14,1.97,0.82,6.94,0.57,87
18,Oat Milk,62,6.55,0.1,2.38,5.47,0.63,2.43,0.18,101
19,Coconut Milk,77,0.68,4.98,10.0,3.71,0.82,2.96,0.48,112
20,Almond Milk,45,7.29,1.5,4.98,9.36,0.76,7.88,0.13,118
21,Oat Milk,40,3.16,2.62,9.71,9.36,0.89,6.07,0.65,104
22,Almond Milk,59,3.35,0.44,4.04,0.72,0.14,5.79,1.0,128
23,Oat Milk,55,2.51,0.64,7.62,5.82,0.82,3.01,0.92,122
24,Coconut Milk,43,2.54,0.11,7.11,1.57,0.3,3.33,0.81,141
25,Soy Milk,73,4.56,4.64,3.23,9.96,0.77,3.78,1.0,133
26,Cashew Milk,47,4.14,2.57,4.7,8.44,0.68,2.69,0.32,136
27,Almond Milk,63,0.91,4.19,10.84,5.61,0.83,7.44,0.81,137
28,Almond Milk,77,5.77,3.82,6.67,7.73,0.64,6.24,0.89,119
29,Almond Milk,59,2.24,1.88,1.64,9.77,0.7,3.24,0.12,95
30,Soy Milk,66,6.43,3.85,1.18,0.6,0.98,6.02,0.83,150
31,Cashew Milk,76,5.78,3.16,6.28,1.98,0.83,4.07,0.61,104
32,Skim Milk,71,2.5,2.09,6.56,3.85,0.95,2.49,0.42,97
33,Cashew Milk,40,2.0,0.43,7.12,5.97,0.86,5.18,0.5,96
34,Whole Milk,64,7.13,0.91,7.13,5.8,0.33,6.5,0.2,125
35,2% Milk,66,1.98,2.62,2.72,3.61,0.01,5.2,0.93,137
36,Oat Milk,47,3.74,4.48,1.93,7.0,0.65,7.74,0.3,83
37,Skim Milk,69,3.64,1.57,3.49,0.56,0.13,7.81,0.54,120
38,Whole Milk,60,1.52,3.89,5.61,5.5,0.17,1.36,0.13,86
39,Skim Milk,80,3.2,2.91,1.16,4.5,0.89,4.06,0.33,106
40,Oat Milk,60,6.08,3.81,7.13,2.79,0.15,4.61,0.99,111
41,Coconut Milk,49,6.52,2.08,9.46,5.97,0.93,4.51,0.95,145
42,Oat Milk,74,1.04,2.64,10.32,7.67,0.24,1.62,0.08,117
43,2% Milk,54,5.25,2.6,4.76,3.97,0.18,4.83,0.65,137
44,Skim Milk,53,5.85,3.48,7.72,1.15,0.81,4.59,0.51,107
45,Almond Milk,50,5.75,3.23,8.57,7.02,0.75,5.06,0.14,105
46,Cashew Milk,72,5.18,4.78,10.83,7.49,0.83,4.8,0.54,113
47,Almond Milk,52,3.44,0.84,6.97,2.03,0.8,5.08,0.13,130
48,Skim Milk,54,4.31,2.26,5.96,2.91,0.36,6.75,0.47,145
49,Cashew Milk,68,5.87,2.41,7.34,1.32,0.8,7.08,0.5,111
50,Cashew Milk,53,3.32,3.3,6.48,2.04,0.15,3.48,0.3,134
51,2% Milk,72,4.81,0.86,7.81,5.86,0.61,3.46,0.9,138
52,Soy Milk,71,0.85,1.84,10.5,4.29,0.55,6.15,0.36,119
53,Skim Milk,70,7.69,2.28,1.46,2.78,0.06,7.56,0.4,84
54,Oat Milk,56,2.98,1.15,1.19,2.38,0.25,7.58,0.84,118
55,Cashew Milk,71,7.97,3.54,9.87,3.82,0.52,4.51,0.02,106
56,Oat Milk,68,6.19,1.52,7.81,2.89,0.5,3.0,0.78,137
57,Soy Milk,53,2.66,3.35,1.88,5.2,0.04,1.45,0.58,109
58,2% Milk,45,2.47,3.71,8.47,1.45,0.0,7.32,0.46,113
59,Soy Milk,57,3.86,4.56,2.92,2.67,0.76,7.94,0.47,102
60,Skim Milk,42,3.76,3.41,4.88,1.4,0.34,5.7,0.78,84
61,Almond Milk,59,4.29,1.08,4.67,3.79,0.95,7.82,0.7,105
62,Almond Milk,71,0.5,2.46,6.17,8.19,0.73,3.26,0.88,102
63,Whole Milk,59,2.23,0.48,3.17,2.73,0.38,5.82,0.57,103
64,Coconut Milk,53,1.25,1.82,8.52,7.71,0.27,3.06,0.05,85
65,Soy Milk,69,1.97,2.27,2.23,5.86,0.17,1.56,0.84,145
66,Oat Milk,69,7.26,0.38,2.98,8.5,0.37,2.2,0.52,121
67,Coconut Milk,57,2.69,3.93,9.19,3.17,0.34,3.12,0.02,131
68,Oat Milk,42,1.86,1.53,8.32,7.34,0.47,2.41,0.61,126
69,Oat Milk,56,4.84,4.82,1.27,8.17,0.38,5.37,0.81,122
70,2% Milk,66,5.62,0.99,9.16,6.87,0.32,2.99,0.71,125
71,Soy Milk,75,0.74,3.51,10.22,1.5,0.26,5.99,0.58,94
72,Almond Milk,50,7.71,1.99,2.93,2.87,0.7,3.35,0.69,103
73,Oat Milk,49,2.91,1.68,11.11,1.05,0.05,3.79,0.17,113
74,Oat Milk,55,1.09,5.0,11.55,7.4,0.04,3.54,0.16,82
75,Coconut Milk,69,4.53,0.95,1.65,2.99,0.83,5.8,0.66,134
76,Oat Milk,80,2.73,2.27,7.45,4.29,0.85,7.76,0.98,146
77,Coconut Milk,44,1.31,3.33,10.85,9.18,0.08,5.27,0.93,91
78,Cashew Milk,59,4.65,4.07,1.4,1.49,0.28,1.24,0.63,99
