Id,Product Name,Energy (kcal),Total Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1,Almond Milk,65,2.11,0.38,5.07,3.86,0.78,2.96,0.7,83
2,Soy Milk,43,6.97,0.31,8.06,7.02,0.11,2.89,0.51,132
3,Almond Milk,72,4.41,0.98,2.16,2.34,0.52,4.9,0.64,113
4,2% Milk,68,5.63,1.71,6.36,0.66,0.76,3.03,0.31,90
5,Whole Milk,68,7.07,0.6,7.67,1.46,0.87,2.33,0.45,121
6,Skim Milk,68,1.27,0.87,5.94,1.04,0.22,5.82,0.58,137
7,Oat Milk,67,3.72,4.69,10.15,2.95,0.19,3.98,0.32,105
8,Soy Milk,48,2.85,3.65,7.72,2.08,0.39,3.6,0.04,80
9,Almond Milk,55,6.06,1.38,9.38,8.68,0.35,7.76,0.16,137
10,Whole Milk,73,6.37,3.09,10.83,5.72,0.23,1.77,0.4,146
11,2% Milk,41,5.02,2.71,1.5,5.35,0.15,6.91,0.03,122
12,Coconut Milk,67,0.65,4.92,7.98,9.54,0.74,2.19,0.46,109
13,Skim Milk,54,1.65,4.77,10.62,5.97,0.53,1.02,0.33,84
14,Whole Milk,58,5.86,3.85,4.01,5.73,0.63,4.69,0.64,109
15,Oat Milk,57,4.35,1.28,2.53,8.34,0.29,7.53,0.92,147
16,Oat Milk,41,2.12,4.8,6.29,6.2,0.33,7.85,0.45,133
17,Almond Milk,73,6.84,1.24,7.97,6.85,0.07,4.46,0.47,107
18,2% Milk,75,3.94,4.97,6.33,9.72,0.84,7.13,0.9,96
19,Skim Milk,40,4.31,2.07,1.73,0.72,0.34,6.61,0.18,149
20,Oat Milk,63,0.66,4.1,6.5,5.92,0.07,5.04,0.99,147
21,2% Milk,43,4.19,1.49,8.38,4.82,0.5,7.95,0.76,139
22,Soy Milk,76,7.51,2.73,6.39,0.98,0.19,2.87,0.67,87
23,2% Milk,78,3.61,1.37,9.86,8.61,0.02,3.74,0.15,149
24,Skim Milk,67,1.79,1.72,11.5,2.49,0.73,7.43,0.85,140
25,Skim Milk,58,2.49,0.39,6.48,7.58,0.39,2.61,0.6,95
26,Coconut Milk,73,5.42,2.67,6.3,6.17,0.12,3.37,0.71,121
27,Skim Milk,79,4.03,2.29,10.44,2.9,0.03,4.45,0.37,84
28,Cashew Milk,45,4.99,2.08,6.09,9.43,0.01,4.97,0.75,100
29,Coconut Milk,55,3.25,3.62,10.98,3.61,0.02,1.83,0.02,92
30,Oat Milk,45,1.59,2.31,1.78,8.4,0.03,4.91,0.89,108
31,Whole Milk,61,6.62,4.79,9.09,6.23,0.36,7.13,0.62,143
32,Almond Milk,45,5.29,3.85,5.17,2.99,0.45,4.21,0.03,110
33,Oat Milk,52,2.76,0.99,7.01,1.94,0.51,6.93,0.1,99
34,Skim Milk,43,0.73,1.79,2.95,9.99,0.07,3.99,0.22,129
35,Skim Milk,72,1.83,4.81,5.55,3.65,0.55,5.08,0.57,140
36,2% Milk,78,7.79,4.58,5.52,1.48,0.64,2.2,0.48,135
37,2% Milk,75,0.89,2.33,11.75,0.75,0.61,6.28,0.31,117
38,Soy Milk,70,5.48,2.72,6.74,2.37,0.53,7.15,0.99,126
39,Skim Milk,72,7.62,1.07,5.56,4.71,0.87,4.37,0.77,114
40,2% Milk,56,3.4,4.46,9.37,1.99,0.64,2.04,0.38,95
41,Skim Milk,78,5.78,4.15,10.56,3.0,0.38,5.14,0.76,122
42,Soy Milk,40,7.3,2.61,7.24,3.24,0.56,2.36,0.01,108
43,Coconut Milk,70,3.37,2.12,1.11,2.46,0.22,5.32,0.41,100
44,Almond Milk,65,3.98,3.14,1.84,8.77,0.26,7.05,0.05,136
45,Almond Milk,69,7.08,1.4,9.43,9.3,0.45,5.17,0.59,145
46,2% Milk,52,7.86,3.1,2.86,9.3,0.39,1.18,0.15,148
47,Coconut Milk,42,1.0,2.87,2.1,4.09,0.19,2.77,0.9,128
48,Oat Milk,57,3.99,3.91,10.4,2.21,0.87,1.44,0.06,130
49,Almond Milk,51,5.11,3.28,6.62,3.79,0.29,3.92,0.79,104
50,Whole Milk,56,2.89,4.48,10.66,6.81,0.58,1.91,0.25,130
51,Soy Milk,52,5.97,1.77,1.38,7.77,0.08,2.87,0.27,132
52,Skim Milk,62,7.12,2.47,2.01,5.38,0.81,3.71,0.91,110
53,2% Milk,42,2.3,1.75,3.24,1.53,0.7,4.64,0.77,144
54,Skim Milk,66,3.7,0.28,6.19,4.93,0.9,7.44,0.6,101
55,Coconut Milk,42,4.97,2.82,11.27,2.76,0.57,2.24,0.76,109
56,Skim Milk,63,6.03,1.31,5.55,2.31,0.77,6.31,0.3,131
57,Whole Milk,40,4.57,3.72,5.7,3.59,0.14,2.68,0.34,133
58,Whole Milk,74,6.95,2.11,2.06,2.67,0.97,5.39,0.36,132
59,Soy Milk,54,5.11,2.36,6.29,3.3,0.29,5.72,0.57,90
60,Cashew Milk,76,2.53,2.07,11.74,9.26,0.05,3.83,0.69,91
61,Almond Milk,79,5.62,0.69,7.6,9.93,0.97,4.88,0.45,134
62,Cashew Milk,56,5.22,0.82,7.43,1.46,0.1,4.38,0.31,91
63,Coconut Milk,41,5.52,0.96,9.83,2.91,0.39,3.69,0.46,119
64,2% Milk,46,2.98,3.19,10.45,6.05,0.57,3.75,0.52,103
65,Almond Milk,54,5.63,3.05,6.81,1.92,0.62,3.23,0.14,108
66,Cashew Milk,40,2.56,4.51,10.85,5.88,0.38,5.68,0.65,91
67,Cashew Milk,41,1.26,1.65,1.22,9.0,0.14,1.86,0.77,122
68,Cashew Milk,45,6.49,2.51,7.42,8.32,0.93,7.0,0.82,149
69,Almond Milk,46,3.88,3.27,9.8,0.93,0.01,5.2,0.79,102
70,2% Milk,49,5.16,4.93,11.88,6.01,0.66,4.31,0.38,93
71,Skim Milk,77,7.99,1.48,2.47,9.8,0.13,3.04,0.06,133
72,Skim Milk,80,6.96,4.73,1.2,1.57,0.64,2.56,0.97,94
73,Whole Milk,45,2.17,4.78,2.66,1.42,0.58,6.04,0.29,138
74,2% Milk,71,5.27,1.52,1.85,3.11,1.0,1.71,0.81,117
75,Almond Milk,53,3.65,4.24,11.91,1.4,0.54,6.02,0.1,116
76,Whole Milk,70,5.92,2.45,10.6,5.47,0.47,2.69,0.81,129
77,Cashew Milk,54,1.36,3.95,5.65,8.52,0.31,2.63,0.43,129
78,Whole Milk,76,6.38,0.21,6.63,8.13,0.55,7.07,0.27,87
79,Whole Milk,55,1.36,3.41,10.23,2.65,0.66,3.81,0.43,135
80,Almond Milk,65,5.42,1.22,9.73,9.39,0.07,4.03,0.9,129
81,Whole Milk,63,7.11,4.18,8.05,3.05,0.11,7.92,0.8,83
